Date,Open,High,Low,Close,Volume
8/22/2014,199.339996,199.690002,198.740005,199.190002,76107000
8/25/2014,200.139999,200.589996,199.149994,200.199997,63855000
8/26/2014,200.330002,200.820007,200.279999,200.330002,47298000
8/27/2014,200.429993,200.570007,199.940002,200.25,47874000
8/28/2014,199.589996,200.270004,199.389999,200.139999,58330000
8/29/2014,200.449997,200.729996,199.820007,200.710007,65907000
9/2/2014,200.970001,201,199.860001,200.610001,72426000
9/3/2014,201.380005,201.410004,200.220001,200.5,57462000
9/4/2014,200.839996,201.580002,199.660004,200.210007,85236000
9/5/2014,200.169998,201.190002,199.410004,201.110001,102177000
9/8/2014,200.919998,201.210007,200,200.589996,64146000
9/9/2014,200.410004,200.550003,198.910004,199.320007,88591000
9/10/2014,199.429993,200.199997,198.770004,200.070007,67251000
9/11/2014,199.270004,200.330002,199.119995,200.300003,66774400
9/12/2014,200.100006,200.119995,198.559998,199.130005,117409300
9/15/2014,199.160004,199.320007,198.380005,198.979996,76401000
9/16/2014,198.610001,200.839996,198.5,200.479996,116201000
9/17/2014,200.770004,201.679993,199.75,200.75,151266000
9/18/2014,201.360001,201.850006,201.100006,201.820007,94990000
9/19/2014,201.520004,201.899994,200.289993,200.699997,121649000
9/22/2014,200.350006,200.380005,198.729996,199.149994,125553000
9/23/2014,198.429993,199.259995,197.949997,198.009995,111393000
9/24/2014,198.039993,199.690002,197.520004,199.559998,107276000
9/25/2014,199.039993,199.050003,196.270004,196.339996,150300000
9/26/2014,196.699997,198.389999,196.419998,197.899994,103547000
9/29/2014,196.199997,197.889999,196.050003,197.539993,95112000
